/home/hongyux/.conda/envs/TL/lib/python3.12/site-packages/torch/optim/lr_scheduler.py:28: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn("The verbose parameter is deprecated. Please use get_last_lr() "
Using device: cuda:0
Loading data...
Creating random sample of 20.0% of the data...
Sampled dataset size: 227346
Train: OKLA_1Mil_120s_Ver_3 - 158947 traces
Dev: OKLA_1Mil_120s_Ver_3 - 34153 traces
Test: OKLA_1Mil_120s_Ver_3 - 34246 traces
Epoch 1/50
loss: 0.215903  [    0/158947]
loss: 0.141837  [  320/158947]
loss: 0.125745  [  640/158947]
loss: 0.095829  [  960/158947]
loss: 0.120645  [ 1280/158947]
loss: 0.088100  [ 1600/158947]
loss: 0.076444  [ 1920/158947]
loss: 0.072847  [ 2240/158947]
loss: 0.074017  [ 2560/158947]
loss: 0.079130  [ 2880/158947]
loss: 0.070965  [ 3200/158947]
loss: 0.080461  [ 3520/158947]
loss: 0.064303  [ 3840/158947]
loss: 0.081854  [ 4160/158947]
loss: 0.079543  [ 4480/158947]
loss: 0.076543  [ 4800/158947]
loss: 0.065177  [ 5120/158947]
loss: 0.073329  [ 5440/158947]
loss: 0.079589  [ 5760/158947]
loss: 0.077719  [ 6080/158947]
loss: 0.071426  [ 6400/158947]
loss: 0.079806  [ 6720/158947]
loss: 0.068337  [ 7040/158947]
loss: 0.082812  [ 7360/158947]
loss: 0.072700  [ 7680/158947]
loss: 0.075548  [ 8000/158947]
loss: 0.068331  [ 8320/158947]
loss: 0.071835  [ 8640/158947]
loss: 0.063507  [ 8960/158947]
loss: 0.083071  [ 9280/158947]
loss: 0.066181  [ 9600/158947]
loss: 0.070536  [ 9920/158947]
loss: 0.061952  [10240/158947]
loss: 0.077253  [10560/158947]
loss: 0.063568  [10880/158947]
loss: 0.073000  [11200/158947]
loss: 0.075490  [11520/158947]
loss: 0.080034  [11840/158947]
loss: 0.080384  [12160/158947]
loss: 0.062633  [12480/158947]
loss: 0.067406  [12800/158947]
loss: 0.071679  [13120/158947]
loss: 0.066647  [13440/158947]
loss: 0.062325  [13760/158947]
loss: 0.072011  [14080/158947]
loss: 0.071218  [14400/158947]
loss: 0.058259  [14720/158947]
loss: 0.066402  [15040/158947]
loss: 0.070579  [15360/158947]
loss: 0.068533  [15680/158947]
loss: 0.061039  [16000/158947]
loss: 0.057011  [16320/158947]
loss: 0.069577  [16640/158947]
loss: 0.067766  [16960/158947]
loss: 0.068585  [17280/158947]
loss: 0.076892  [17600/158947]
loss: 0.068149  [17920/158947]
loss: 0.065719  [18240/158947]
loss: 0.066190  [18560/158947]
loss: 0.079421  [18880/158947]
loss: 0.073101  [19200/158947]
loss: 0.068138  [19520/158947]
loss: 0.064785  [19840/158947]
loss: 0.063827  [20160/158947]
loss: 0.068515  [20480/158947]
loss: 0.061437  [20800/158947]
loss: 0.063317  [21120/158947]
loss: 0.058250  [21440/158947]
loss: 0.065241  [21760/158947]
loss: 0.058145  [22080/158947]
loss: 0.069085  [22400/158947]
loss: 0.063930  [22720/158947]
loss: 0.076629  [23040/158947]
loss: 0.072590  [23360/158947]
loss: 0.064223  [23680/158947]
loss: 0.062197  [24000/158947]
loss: 0.060698  [24320/158947]
loss: 0.058814  [24640/158947]
loss: 0.061018  [24960/158947]
loss: 0.071219  [25280/158947]
loss: 0.063557  [25600/158947]
loss: 0.056144  [25920/158947]
loss: 0.069612  [26240/158947]
loss: 0.060907  [26560/158947]
loss: 0.069810  [26880/158947]
loss: 0.074216  [27200/158947]
loss: 0.061572  [27520/158947]
loss: 0.065070  [27840/158947]
loss: 0.066415  [28160/158947]
loss: 0.063678  [28480/158947]
loss: 0.062935  [28800/158947]
loss: 0.070558  [29120/158947]
loss: 0.061816  [29440/158947]
loss: 0.060969  [29760/158947]
loss: 0.060313  [30080/158947]
loss: 0.061269  [30400/158947]
loss: 0.062511  [30720/158947]
loss: 0.062158  [31040/158947]
loss: 0.069150  [31360/158947]
loss: 0.064712  [31680/158947]
loss: 0.062176  [32000/158947]
loss: 0.057101  [32320/158947]
loss: 0.068589  [32640/158947]
loss: 0.056292  [32960/158947]
loss: 0.051588  [33280/158947]
loss: 0.056341  [33600/158947]
loss: 0.058738  [33920/158947]
loss: 0.063075  [34240/158947]
loss: 0.058678  [34560/158947]
loss: 0.061947  [34880/158947]
loss: 0.064117  [35200/158947]
loss: 0.067381  [35520/158947]
loss: 0.056976  [35840/158947]
